no,page_id,name,locality,category,layer,url,page,dish_photo,n_dish,identifiable,recent,note
77,208634389168980,阿蘇薬草園,阿蘇市,cafe,has_website,https://www.facebook.com/208634389168980,,,,,,
78,157123570970726,大衆割烹 寿久,福岡市博多区,restaurant,has_website,https://www.facebook.com/157123570970726,,,,,,
79,186470241377356,ほっともっと 南品川店,品川区,casual_eatery,has_website,https://www.facebook.com/186470241377356,,,,,,
80,109159378627326,ハンバーグ専門店 松屋精肉店,千代田区,restaurant,socials_only,https://www.facebook.com/109159378627326,,,,,,
81,286385778476044,Shishimaru,大阪市中央区,restaurant,socials_only,https://www.facebook.com/286385778476044,,,,,,
82,100540805191932,太平楽 茂庭店,仙台市青葉区,restaurant,socials_only,https://www.facebook.com/100540805191932,,,,,,
83,313370385732848,サン、スマイル,江戸川区,coffee_shop,socials_only,https://www.facebook.com/313370385732848,,,,,,
84,2022904181150649,Kissakan Coco,大阪市都島区,cafe,socials_only,https://www.facebook.com/2022904181150649,,,,,,
85,312930359485029,夢屋,つくば市,restaurant,socials_only,https://www.facebook.com/312930359485029,,,,,,
86,709540462456959,Moet,京都市中京区,restaurant,socials_only,https://www.facebook.com/709540462456959,,,,,,
87,197901866940446,うどん工房讃岐倶楽部,桜井市,restaurant,has_website,https://www.facebook.com/197901866940446,,,,,,
88,994167390443570,Wine Stand ミラク,横浜市青葉区,bar,has_website,https://www.facebook.com/994167390443570,,,,,,
89,124873537564982,好楽園,下関市,restaurant,socials_only,https://www.facebook.com/124873537564982,,,,,,
90,1886452831624271,会員制肉割烹かつまた,渋谷区,restaurant,has_website,https://www.facebook.com/1886452831624271,,,,,,
91,319959811891736,Chichi Yasu,広島市西区,casual_eatery,has_website,https://www.facebook.com/319959811891736,,,,,,
92,1107548446053736,ひさご食堂,加茂郡七宗町,restaurant,socials_only,https://www.facebook.com/1107548446053736,,,,,,
93,834392970255877,和輪笑,伊豆市,cafe,has_website,https://www.facebook.com/834392970255877,,,,,,
94,184124914976664,Food Bar Saloon,名古屋市中区,restaurant,has_website,https://www.facebook.com/184124914976664,,,,,,
95,295558530877011,梅花,浜松市,restaurant,socials_only,https://www.facebook.com/295558530877011,,,,,,
96,1369859969733368,Wine & Food Spirit,鎌倉市,bar,has_website,https://www.facebook.com/1369859969733368,,,,,,
97,348721075224025,お食事処 川,南アルプス市,restaurant,socials_only,https://www.facebook.com/348721075224025,,,,,,
98,401864353261295,豚舞,福岡市博多区,bar,socials_only,https://www.facebook.com/401864353261295,,,,,,
99,755332737908540,Cafe Recuerdo,熊本市中央区,coffee_shop,socials_only,https://www.facebook.com/755332737908540,,,,,,
100,522338567790259,スナック高井,富山市,bar,socials_only,https://www.facebook.com/522338567790259,,,,,,
101,342326409993186,にしだば,富士見市,bar,socials_only,https://www.facebook.com/342326409993186,,,,,,
