place_id,latitude,longitude,sightings,nearest_open_data_m
ChIJsfx7ajn1QDURooD-Iv-iJM0,32.8027999,130.7090901,1,1.4
ChIJuzrkBgD1QDURhDuHQ6nh9r8,32.8027999,130.7090901,1,1.4
ChIJz9qbzpz1QDURgtYSJDn4-xQ,32.8027999,130.7090901,1,1.4
ChIJ5UYXLAD1QDURjm3PYcQWkC0,32.8027999,130.7090901,1,1.4
ChIJsU-VYQD1QDUR4tzM80Qcbv4,32.8027999,130.7090901,1,1.4
ChIJDVglHAD1QDURqxktksCdt2c,32.8027999,130.7090901,1,1.4
ChIJFzNYWwz0QDURTqBmH7WOKnk,32.8027999,130.7090901,1,1.4
ChIJqbSA2af1QDUR8bghazthHws,32.8027999,130.7092771,2,1.6
ChIJEYRgYAD1QDURr3ItQrlcPXU,32.8027999,130.7092771,2,1.6
ChIJ03-bRAz0QDURye1qOhmh52I,32.8029571,130.7090901,2,3.7
ChIJXXF5Rwz0QDURhVjUYHgOUok,32.8029571,130.7090901,2,3.7
ChIJ-w90Qgz0QDURaWH5ptdIpn8,32.8027999,130.7094641,1,10.2
ChIJp921WgD1QDURJhqY1XGFVxk,32.8032715,130.7079679,2,6.9
ChIJrfiZrg30QDURqsBooJFSolw,32.8032715,130.7079679,2,6.9
ChIJrfiZrg30QDURkZkF_abLt1M,32.8032715,130.7079679,2,6.9
ChIJEc7VTgz0QDUR4hDkfQl_if4,32.8031143,130.7085290,2,4.7
ChIJ51bEfmL1QDURWIvve8PvHAI,32.8031143,130.7085290,2,4.7
ChIJAQAZTAz0QDURxuZyNic0P_w,32.8033239,130.7084666,3,9.3
ChIJn8UP7Pb1QDUR1W0WgYNnz4g,32.8032191,130.7085913,3,5.6
ChIJT0rmq0P1QDURWIRR23ip5RE,32.8032191,130.7085913,3,5.6
ChIJ85Q1gin1QDURtEsACXSrwAk,32.8032191,130.7085913,3,5.6
ChIJE84YTAz0QDURawLmiMFX1qI,32.8032191,130.7085913,3,5.6
ChIJ440prsf1QDUR-GRjM-klk0Q,32.8031143,130.7085290,2,4.7
ChIJFwT_Tgz0QDURL4E0mcELuAA,32.8031143,130.7087160,1,1.6
ChIJI8k_Tgz0QDUROGyzY9WURj4,32.8031143,130.7087160,1,1.6
ChIJ24llR2v1QDUR_qZ7vTQiAPM,32.8031143,130.7087160,1,1.6
ChIJEc7VTgz0QDURpyqxD_f2DOM,32.8032715,130.7087160,2,5.2
ChIJ_QCTTwz0QDUR6tumsaV7D-o,32.8031143,130.7087160,1,1.6
ChIJrWdIHmL1QDURe_NwlGIn1AY,32.8031143,130.7087160,1,1.6
ChIJebaDRwz0QDURNkoShG1aoMc,32.8031143,130.7087160,1,1.6
ChIJRY-lHG_1QDURVn-N4WzdSIg,32.8031143,130.7089030,2,4.3
ChIJ_QCTTwz0QDURw8PxaYCMauI,32.8031143,130.7087160,1,1.6
ChIJN5yBRQz0QDURteOn-asE8gQ,32.8031143,130.7089030,2,4.3
ChIJdU4cTAz0QDURlVmj4G8Siks,32.8032715,130.7087160,2,5.2
ChIJ1-KcGOn1QDUR0bJv6kekJa4,32.8031143,130.7090901,1,3.1
ChIJZZ7MRQz0QDURggbCsQzsI0Y,32.8031143,130.7090901,1,3.1
ChIJ8zRlRgz0QDURi_bFPJhl_b0,32.8031143,130.7090901,1,3.1
ChIJZz_KRQz0QDURrPcsq1uHE8Q,32.8031143,130.7090901,1,3.1
ChIJZZ7MRQz0QDUR_9zOqNQsDJU,32.8031143,130.7090901,1,3.1
ChIJ_____wz0QDURZeBPsJrMrEg,32.8032715,130.7090901,2,5.0
ChIJ3Sv-6931QDURJLek59_oVR8,32.8031143,130.7090901,1,3.1
ChIJt32JVyv1QDURym6b51TQxtI,32.8031143,130.7090901,1,3.1
ChIJ5c9oRQz0QDUROjt6gdE4osE,32.8031143,130.7090901,1,3.1
ChIJk_xnRQz0QDUR8vXrfDeE5JY,32.8031143,130.7090901,1,3.1
ChIJBzhNSAz0QDURYjvEKj1yzCI,32.8034287,130.7087160,1,2.8
ChIJBzhNSAz0QDURUA4ifRZZThE,32.8034287,130.7087160,1,2.8
ChIJhwzqAwD1QDUR5ObIivgs4WQ,32.8034287,130.7087160,1,2.8
ChIJBzhNSAz0QDURVFn01sIrd7s,32.8034287,130.7087160,1,2.8
