overture_id,google_place_id,name,name_query,address_query,latitude,longitude,postcode,basic_category,overture_confidence,match_rule,match_detail,confidence_tier,geo_verification
00ab5c98-d48a-404c-8616-5116303c52ad,ChIJvXjmme_zAGARqxUkMt4Yoic,くろこめ屋,くろこめ屋,兵庫県宝塚市末成町29−7,34.7882042,135.3642502,665-0044,restaurant,0.813,box_unique_strict,tight_unique_in_ab,A,confirmed
00abea43-09b6-42bb-bd6c-a1a6c16a163b,ChIJjQHTeI4OHWARZ5xpB8hIRak,米田屋,米田屋,長野県松本市中央2丁目3−24,36.2331638,137.9691696,390-0811,food_and_beverage_store,0.997,box_unique_strict,tight_unique_in_ab,A,confirmed
00b9b815-3503-4f0f-a5b4-38043924515c,ChIJQydM-ujxAGARRo8sAhFduq4,琥珀屋珈琲店,琥珀屋珈琲店,兵庫県尼崎市南武庫之荘1丁目22−21,34.7505093,135.3906174,661-0033,coffee_shop,0.900,box_unique_strict,tight_unique_in_ab,A,confirmed
00bb8ba3-28a4-4331-a887-2eb69837be78,ChIJdbBE-UCLGGARVlMgp1ajkKw,恵比寿丸屋,恵比寿丸屋,東京都渋谷区恵比寿南1丁目1−3,35.6465683,139.7087021,150-0022,restaurant,0.915,box_unique_strict,tight_unique_in_ab,A,confirmed
00bdc0b4-8d98-42fc-a8d4-7369878a8663,ChIJbSWQvumYfDURkWyqAsyIYa4,코르크,코르크,,37.5598049,126.9248962,,bar,0.779,box_unique_strict,tight_unique_in_ab,A,confirmed
00bf90b2-a5a8-4aa9-827a-f2248ae1ce86,ChIJUbBO0SuniF8RDbIPhAWblkg,The Burger Hearts,The Burger Hearts,岩手県大船渡市盛町町9−5,39.0870667,141.7094498,,restaurant,0.996,box_unique_strict,tight_unique_in_ab,A,confirmed
00c1fc72-0a4f-4ee8-b161-472929bb58fb,ChIJYzCwhT1TFTURqbTMLqSvRn4,大波止桃華園,大波止桃華園,長崎県長崎市元船町15−5,32.7454433,129.8713303,850-0035,restaurant,0.980,box_unique_strict,tight_unique_in_ab,A,confirmed
00c25a27-4d05-480d-b239-e0ff7ac3e614,ChIJUTk1u43AHmARYrhvVG7f3PU,鬼カフェ,鬼カフェ,群馬県藤岡市鬼石152−1,36.1569347,139.0585403,370-1401,coffee_shop,0.996,box_unique_strict,tight_unique_in_ab,A,confirmed
00c632d2-3868-4004-8c41-cc9bb3aa5c71,ChIJUUZper-LGGARa-kqLFqmjHg,恵比寿 鮨 おぎ乃,恵比寿 鮨 おぎ乃,東京都渋谷区恵比寿西1丁目9−7,35.6467266,139.7081680,150-0021,restaurant,0.984,box_unique_strict,tight_unique_in_ab,A,confirmed
00cdb600-c2e5-462b-b706-76d36e28ebc6,ChIJ6Y6YpLtnH2ARWSXX7Q3Ddpo,パイプのけむり 池上町本店,パイプのけむり 池上町本店,栃木県宇都宮市池上町2−1,36.5613995,139.8823471,320-0801,bar,0.976,box_unique_strict,tight_unique_in_ab,A,confirmed
00cf8660-7d16-4413-b549-163961bfa661,ChIJ2T8-_0CLGGARjJXZDNBvSCk,ローヤルオブジャパン,ローヤルオブジャパン,東京都渋谷区恵比寿南1丁目1−1,35.6467381,139.7089615,150-0022,food_and_beverage_store,0.685,box_unique_strict,tight_unique_in_ab,A,confirmed
00d355a5-4215-4b66-bf02-d5c1fee5f804,ChIJ2ydD3xz_il8R9EA7ayBjRGw,en.filo,en.filo,山形県南陽市933-26 Takanashi,38.0396957,140.1339645,999-2251,restaurant,0.957,box_unique_strict,tight_unique_in_ab,A,confirmed
00d547a1-23f5-4639-93a8-020943d687c8,ChIJ4WNYIUirGWARMaAtbEyqqY8,to-Bloom,to-Bloom,神奈川県厚木市中町3丁目4−3,35.4399567,139.3628159,243-0018,bar,0.364,box_unique_strict,tight_unique_in_ab,A,confirmed
00d909d0-e739-4bba-8efc-eee058e1405b,ChIJZwR7dVvlGGARhs31Y9CpiS0,Jikka de Dining,Jikka de Dining,東京都小金井市本町2丁目20−4,35.7039452,139.5077286,184-0004,restaurant,0.985,box_unique_strict,tight_unique_in_ab,A,confirmed
00dc05a2-04e0-4e93-aeda-e10ec85be5b6,ChIJt8qb65nBGGARoAOLbG9LlP4,やきとり萬世,やきとり萬世,埼玉県さいたま市桜区西堀2丁目2−2,35.8543072,139.6345139,338-0832,restaurant,0.760,box_unique_strict,tight_unique_in_ab,A,confirmed
00dec615-243f-43ff-92df-2b353d427d2a,ChIJpcsAVkFxA2AR_um3hGmkYWI,占いバー ラボラス,占いバー ラボラス,名古屋市中区,35.1659107,136.9160995,,bar,0.966,box_unique_strict,tight_unique_in_ab,A,confirmed
00dff4b0-74e5-4e9c-b80d-bc3991facce6,ChIJcVGFjgz0QDURsO5Y4VumSLs,はま屋,はま屋,熊本県熊本市中央区安政町5−9,32.8015041,130.7098465,860-0801,restaurant,0.991,box_unique_strict,tight_unique_in_ab,A,confirmed
00f22e42-0eb2-4c8c-847b-e5054f017dc2,ChIJT2IymjNdGGARWRagRUpl3wA,洋の若蔵,洋の若蔵,神奈川県横浜市西区高島2丁目10−20,35.4627705,139.6223221,220-0011,bar,0.829,box_unique_strict,tight_unique_in_ab,A,confirmed
00fc7489-8683-4860-a052-6e22c5c6a937,ChIJKxb0TDjzGGAR5vdmpd7JGjc,BAR Ni-Jo,BAR Ni-Jo,東京都中野区東中野5丁目4−8,35.7076550,139.6862564,164-0003,bar,0.989,box_unique_strict,tight_unique_in_ab,A,confirmed
010ab3ef-52a2-4deb-8915-0289b7f0e4bd,ChIJxfFitE5nPjURiMz4_RtoyXE,Meeting Sanctuary's Bar,Meeting Sanctuary's Bar,鹿児島県鹿児島市10-8 Yamanokuchicho,31.5891628,130.5533524,892-0844,bar,0.942,box_unique_strict,tight_unique_in_ab,A,confirmed
01102ae3-8450-41ed-8170-9bdfaaa74df7,ChIJrRhQMgnSBGARpE9ZkUL37gk,三光堂,三光堂,愛知県豊橋市広小路1丁目42,34.7638683,137.3837051,440-0881,food_and_beverage_store,0.886,box_unique_strict,tight_unique_in_ab,A,confirmed
0118c9cf-412b-4130-9f47-c803fa89fbf9,ChIJXxuX8Hz1QDURjLiQ4d9Gmc8,B style,B style,"熊本県熊本市中央区Shimotori, 1 Chome−5−17 1F-B",32.8013439,130.7082291,860-0807,bar,0.656,box_unique_strict,tight_unique_in_ab,A,confirmed
01213596-4d67-405e-b72d-382cbee02280,ChIJg_BuYkCLGGARBTk_MKTmRb4,恵比寿箸庵,恵比寿箸庵,東京都渋谷区恵比寿南1丁目11−16,35.6453075,139.7090073,150-0022,restaurant,0.998,box_unique_strict,tight_unique_in_ab,A,confirmed
0124a1ea-3d8c-412a-9d6b-8c356f76cc76,ChIJmcggqNNwA2ARw9A1E22bTgQ,とらの子,とらの子,愛知県名古屋市中区栄3丁目8−24,35.1669598,136.9052505,460-0008,bar,0.770,box_unique_strict,tight_unique_in_ab,A,confirmed
012fc57c-1fe8-4d5a-a5bb-7914814a1ee7,ChIJc_BUBghnH2ARuNJj03VHazk,屋台横丁  十五,屋台横丁 十五,栃木県宇都宮市二荒町1-6,36.5601902,139.8864975,320-0804,restaurant,0.805,box_unique_strict,tight_unique_in_ab,A,confirmed
0132e9f6-1b5c-46af-934f-fba72b14f14e,ChIJu0QkzMmafDUR9RRnRLHH4IQ,빵선생,빵선생,,37.6431999,126.7897186,,casual_eatery,0.825,box_unique_strict,tight_unique_in_ab,A,confirmed
0145009b-7517-4c64-9028-d0c14a934a5d,ChIJ4cUGJUX7AGARyvQH-zniUtQ,やきとり 一心,やきとり 一心,大阪府吹田市4 Chome-1-10 Yamadanishi,34.8033123,135.5148544,565-0824,restaurant,0.736,box_unique_strict,tight_unique_in_ab,A,confirmed
01469514-856e-4089-8f76-e6389632913a,ChIJXTD8RH6OHmARIPPgpML6sj0,みるく工房タンポポ 群馬八幡駅前店,みるく工房タンポポ 群馬八幡駅前店,群馬県高崎市剣崎町201-15,36.3383884,138.9572144,370-0883,casual_eatery,0.770,box_unique_strict,tight_unique_in_ab,A,confirmed
014e198a-c0b7-4a68-a72b-caba3339a7fd,ChIJySxbUPDdAGARNpg83q110oE,赤のれん 天王寺店,赤のれん 天王寺店,大阪府大阪市天王寺区天王寺区悲田院町10-48,34.6472874,135.5138474,543-0055,restaurant,0.958,box_unique_strict,tight_unique_in_ab,A,confirmed
