""
"概要（30⽂字以内）"
"料理カテゴリ提案"
"料理カテゴリ表記揺れ取得"
"料理カテゴリ表記揺れ登録"
"条件で料理取得※返却数固定"
"料理投稿登録"
"料理投稿にいいね"
"料理投稿いいね解除"
"料理投稿保存"
"料理レビュー登録"
"レビューいいね追加"
"料理マスター作成 or 取得"
"Google一括料理登録"
"Google Places API Autocomplete のラッパー（地名のみ）"
"Google Places API Details のラッパー（地名のみ）"
"Google Places API Reverse geocoding のラッパー（地名のみ）"
"座標周辺レストラン、入札状況一覧"
"Google Place ID でレストラン作成"
"入札意図の登録（決済前）"
"レストラン料理投稿一覧"
"レストラン入札履歴一覧"
"レストラン取得"
"GCS 署名付き URL 発行`system-generated/${contentType}/${Timestamp}_${identifier}`"
"レビューした料理投稿一覧"
"自分がいいねした料理投稿一覧"
"自分の収益一覧"
"自分の入札履歴一覧"
"自分の保存カテゴリ一覧"
"保存済み料理投稿一覧"
