provider,search_keyword,search_url,scroll_index,post_url,collected_at
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,0,https://www.tiktok.com/@osaka_gourmet/video/7208483153529359618,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,0,https://www.tiktok.com/@yakitori.uchida/video/7522748625617685767,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,0,https://www.tiktok.com/@higakiyakitori/video/7597048461137104148,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,0,https://www.tiktok.com/@fun.eats4/video/7646720699809221908,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,0,https://www.tiktok.com/@uzami_chan_/video/7583706959740767506,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,0,https://www.tiktok.com/@yakitori_ryuho_/video/7595439371789110529,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,0,https://www.tiktok.com/@user1294392961536/video/7507626640105606418,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,0,https://www.tiktok.com/@okglh3/video/7660334235802422549,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,0,https://www.tiktok.com/@user4qnntocb7b/video/7561376015465909522,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,0,https://www.tiktok.com/@yugen4194/video/7678401611223289108,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,0,https://www.tiktok.com/@sennari0618/video/7672730532475669778,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,0,https://www.tiktok.com/@rannmaru0608/video/7613897987143503111,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,0,https://www.tiktok.com/@tatsupiko1109/video/7650810158783679764,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,0,https://www.tiktok.com/@mana_manager/video/7634165705901952263,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,0,https://www.tiktok.com/@a07m1u2/video/7362181195188210952,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,0,https://www.tiktok.com/@tyan__tya04/video/7678294979420097799,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,0,https://www.tiktok.com/@chinpouko_jp/video/7667369756814740756,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,0,https://www.tiktok.com/@lovndxz/video/7678421197473860884,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,0,https://www.tiktok.com/@modelgohan/video/7516469409154632978,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,1,https://www.tiktok.com/@rannmaru0608/video/7634681964745837831,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,1,https://www.tiktok.com/@rannmaru0608/video/7615562189616745735,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,1,https://www.tiktok.com/@tokyo_best_restaurants/video/7678084188880440584,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,1,https://www.tiktok.com/@miyuasmr/video/7127201910494383361,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,1,https://www.tiktok.com/@user3882101511960/video/7676103634320477448,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,1,https://www.tiktok.com/@noa.tktk/video/7370292146320051473,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,1,https://www.tiktok.com/@waraiya_shijo/video/7656326809868356865,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,1,https://www.tiktok.com/@user68610816161532/video/7541291458989526280,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,1,https://www.tiktok.com/@higakiyakitori/video/7015902900471794945,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,1,https://www.tiktok.com/@panmusu/video/7648939396263152917,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,1,https://www.tiktok.com/@ebitabetaino/video/7495316838146952456,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,1,https://www.tiktok.com/@fukuikazushi/video/7672697532006386951,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,1,https://www.tiktok.com/@kuidaorejirou.osaka/video/7651929002633874709,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,1,https://www.tiktok.com/@kuwadori/video/7647461523132124423,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,1,https://www.tiktok.com/@gokurakuchou_shouwachou/video/7637891965790539029,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,1,https://www.tiktok.com/@hiroshima_nicegourme/video/7636709444260236551,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,1,https://www.tiktok.com/@tiktok.sayaka/video/7658067080121470229,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,1,https://www.tiktok.com/@toribura/video/7672226238437543189,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,1,https://www.tiktok.com/@hideka_cooking/video/7654501531030441236,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,1,https://www.tiktok.com/@yakitori_ootori/video/7636604591978630407,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,1,https://www.tiktok.com/@oliveoil_wo_hitomawashi/video/7219972566679620865,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,1,https://www.tiktok.com/@yakitoritouji/video/7624139240217021697,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,1,https://www.tiktok.com/@harahachibunme3/video/7543946144565529873,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,1,https://www.tiktok.com/@dsebaji/video/7678485063926844693,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,2,https://www.tiktok.com/@duonghoan_gngon1992/video/7512417921935887638,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,2,https://www.tiktok.com/@kusimonya/video/7678296580545416455,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,2,https://www.tiktok.com/@chiba_grumet_p/video/7671992485568154898,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,2,https://www.tiktok.com/@oreuma.kiroku/video/7675352579785674002,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,2,https://www.tiktok.com/@zonzon.cn/video/7643020424078462228,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,2,https://www.tiktok.com/@ri_xw07/video/7637797672602357012,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,2,https://www.tiktok.com/@kohyoka_gourmet/video/7673061835376987412,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,2,https://www.tiktok.com/@koyuking09/video/7406302574426475784,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,2,https://www.tiktok.com/@user8483495882673/video/7554417266905861398,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,2,https://www.tiktok.com/@pochaco_pochami/video/7677180698620349703,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,2,https://www.tiktok.com/@tokyo_sets/video/7645529854527540487,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,2,https://www.tiktok.com/@kumac.com/video/7674158977692765458,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,2,https://www.tiktok.com/@user412082476/video/7666381979146898689,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,2,https://www.tiktok.com/@uzami_chan_/video/7677206158351846674,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,2,https://www.tiktok.com/@matsuriya.sanei/video/7677410916220062984,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,2,https://www.tiktok.com/@omausu/video/7678319234148994312,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,2,https://www.tiktok.com/@marunnpo/video/7677118189288934674,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,2,https://www.tiktok.com/@yakitori39oimachi/video/7674188950314978568,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,2,https://www.tiktok.com/@maruyoshi_yakitori/video/7621586781128903956,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,2,https://www.tiktok.com/@yoru_nagoya/video/7658950568710262024,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,2,https://www.tiktok.com/@kogumanotabemono/video/7599230006618852624,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,2,https://www.tiktok.com/@21__glunch/video/7673062717577579797,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,2,https://www.tiktok.com/@smr_3baby/video/7594753054826843399,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,2,https://www.tiktok.com/@neet_huton_meet/video/7630786490296995092,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,2,https://www.tiktok.com/@bosszaru_rrr/video/7646753079508897025,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,2,https://www.tiktok.com/@tan73414axg/video/7669707810069810449,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,2,https://www.tiktok.com/@fukuya_kasai111/video/7666801823881137428,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,2,https://www.tiktok.com/@yome_genki/video/7122391561207287042,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,2,https://www.tiktok.com/@kushibako.nagoya/video/7676415786507865362,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,3,https://www.tiktok.com/@kusimonya/video/7646234462862216455,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,3,https://www.tiktok.com/@tokyomogumogugurume/video/7565037938988420372,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,3,https://www.tiktok.com/@sugiyume_/video/7675696436851379477,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,3,https://www.tiktok.com/@yakitori_ryuho_/video/7675238397656517889,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,3,https://www.tiktok.com/@esshi.8.25/video/7586605331837455623,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,3,https://www.tiktok.com/@erikojiaoi/video/7571762986331786516,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,3,https://www.tiktok.com/@moto08160/video/7640489852512783637,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,4,https://www.tiktok.com/@shindoi_kitchen/video/7598896542975642900,2026-08-27T10:50:00Z
tiktok,焼き鳥,https://www.tiktok.com/tag/%E7%84%BC%E3%81%8D%E9%B3%A5,4,https://www.tiktok.com/@y_ki317/video/7678502008059350279,2026-08-27T10:50:00Z
