region	city	category_label	category_qid	candidate_stores	of_which_ig_handle_known
福井県	福井市	ステーキ	Q10859394	3	0
福井県	越前市	カフェ	Q30022	5	1
福岡県	久留米市	うどん	Q471861	18	2
福岡県	久留米市	ラーメン	Q234646	36	4
福岡県	北九州市	ケーキ	Q13276	4	1
福岡県	北九州市	唐揚げ	Q1104399	3	0
福岡県	北九州市	焼き鳥	Q483163	16	0
福岡県	北九州市	焼肉	Q844466	74	12
福岡県	北九州市	韓国料理	Q647500	2	0
福岡県	宗像市	寿司	Q46383	2	0
福岡県	福岡市	ジェラート	Q1362405	2	1
福岡県	福岡市	串カツ	Q1185709	5	5
福岡県	福岡市	天丼	Q1045248	1	1
福岡県	福岡市	麻婆豆腐	Q1298577	1	0
福岡県	糸島市	カフェ	Q30022	4	0
福島県	いわき市	カフェ	Q30022	16	4
秋田県	由利本荘市	カフェ	Q30022	4	0
秋田県	秋田市	ケーキ	Q13276	2	0
秋田県	秋田市	パスタ	Q178	1	1
秋田県	秋田市	焼肉	Q2431975	11	3
群馬県	前橋市	ケーキ	Q13276	1	0
群馬県	前橋市	ラーメン	Q234646	15	1
群馬県	前橋市	寿司	Q46383	11	2
群馬県	太田市	居酒屋	Q1193068	14	0
群馬県	高崎市	うどん	Q471861	10	2
群馬県	高崎市	ハンバーグ	Q16983167	1	0
群馬県	高崎市	居酒屋	Q1193068	21	2
茨城県	日立市	カフェ	Q30022	5	1
長崎県	大村	カフェ	Q30022	2	0
長崎県	長崎市	イタリアン	Q192786	4	0
長崎県	長崎市	サンドイッチ	Q111836983	1	0
長崎県	長崎市	ラーメン	Q234646	14	0
長野県	松本市	パスタ	Q178	1	1
長野県	松本市	居酒屋	Q1193068	18	0
長野県	諏訪市	カフェ	Q30022	3	1
青森県	むつ市	ラーメン	Q234646	2	0
青森県	八戸市	カフェ	Q30022	7	1
青森県	十和田市	ラーメン	Q234646	3	0
静岡県	富士市	カフェ	Q30022	9	4
静岡県	沼津市	居酒屋	Q1193068	8	0
静岡県	沼津市	餃子	Q107014807	1	0
静岡県	浜松市	和食	Q234138	6	1
静岡県	浜松市	餃子	Q107014807	9	2
静岡県	湖西市	カフェ	Q30022	1	0
静岡県	静岡市	そば	Q753910	41	1
香川県	観音寺市	カフェ	Q30022	4	0
香川県	高松市	寿司	Q46383	10	2
高知県	高知市	パスタ	Q178	2	0
高知県	高知市	ラーメン	Q234646	15	3
鳥取県	鳥取市	ラーメン	Q234646	6	0
鳥取県	鳥取市	焼肉	Q2431975	15	2
鳥取県	鳥取市	焼肉	Q844466	15	2
鹿児島県	鹿児島市	アイスクリーム	Q13233	2	2
鹿児島県	鹿児島市	中華料理	Q10876842	2	0
鹿児島県	鹿児島市	焼き鳥	Q483163	1	0
