overture_id,google_place_id,name,name_query,address_query,latitude,longitude,postcode,basic_category,overture_confidence,match_rule,match_detail,confidence_tier,geo_verification
0004fd9b-bd04-4437-9f3e-6b37e147058c,ChIJ9ZYHb8fOBGAREW4qT68c3Rs,キッチンながた,キッチンながた,愛知県豊川市伊奈町南山新田1,34.8143253,137.3504105,,restaurant,0.968,layered_strict_wide,layer1_intersection_in_box,A,confirmed
0006364b-0cee-437b-8edf-d60beb93756c,ChIJaRQ54dd_GGARSc7stPcK3Aw,Torikizoku,Torikizoku,〒273-0005 本町4丁目44-11,35.7003136,139.9868851,273-0005,restaurant,0.991,layered_strict_wide,layer1_intersection_in_box,B,confirmed
00311d1f-4640-492f-9d2e-0d9661f45c8e,ChIJKT4EUUVc9l8RETfT-rhrEnw,インター食堂,インター食堂,〒941-0064 上刈3-16-6 インター食堂,37.0316868,137.8539963,941-0064,restaurant,0.770,layered_strict_wide,layer1_intersection_in_box,B,confirmed
0043bd72-530b-434e-8fe1-61430be3121b,ChIJ__-7j9GMGGARY86iy2FWCJE,炭火活烹三是,炭火活烹三是,〒151-0053 東京都渋谷区代々木2丁目11−12,35.6872616,139.6968842,151-0053,restaurant,0.997,layered_strict_wide,layer1_intersection_in_box,B,confirmed
00936619-5fb5-4427-b643-82af7dc48743,ChIJNxH6uhmqAWARXFKTdIryc1I,寿楽庵,寿楽庵,〒616-8434 京都府京都市右京区嵯峨鳥居本仏餉田町10,35.0247059,135.6684113,616-8434,restaurant,0.621,layered_strict_wide,layer2_top1_in_box,B,confirmed
0093fc46-5a9d-40ff-90f7-7b286b3ad3c8,ChIJT5sMO88HAWARjiybPGMSiUI,Cafe Garage,Cafe Garage,〒616-8343 1-6 Sagaasahicho,35.0148945,135.6914749,616-8343,cafe,0.969,layered_strict_wide,layer1_intersection_in_box,B,confirmed
00a6ed7a-3abd-4eeb-91c4-e1265aa138dc,ChIJ-8DXtMlXUDURA12J2v5vncQ,aura,aura,〒723-0015 3 Chome-4-6 Enichicho,34.3960552,133.0768814,723-0015,restaurant,0.975,layered_strict_wide,layer1_intersection_in_box,B,confirmed
00b600dd-53b7-4e66-868f-0c3f1d55a336,ChIJ6Xj9OXqLGGARQcXGJlFqy78,麻布うどん,麻布うどん,〒106-0031 東京都港区西麻布3丁目24−23,35.6597157,139.7241135,106-0031,restaurant,0.987,layered_strict_wide,layer1_intersection_in_box,A,confirmed
00c343d9-e6f6-43a6-ba6b-8957713bc35e,ChIJnW05bHz0nl8RepveBKigmA4,プランタール,プランタール,〒040-0012 北海道函館市時任町28−8,41.7846870,140.7564468,040-0012,cafe,0.962,layered_strict_wide,layer1_intersection_in_box,A,confirmed
00c8868a-43e6-4546-92ce-a266f71fa352,ChIJ57cKfsRGH2AR9P0febUCdyU,中国料理 彩雅,中国料理 彩雅,〒328-0012 3 Chome-43-7 Hirayanagimachi,36.3955116,139.7449188,328-0012,restaurant,0.970,layered_strict_wide,layer1_intersection_in_box,A,confirmed
00d3a4b0-2eb7-4b23-b790-a158a8905f19,ChIJMc2gW7IBUTURZPRbVE3epgw,尾道お好み焼き・ぽっぽ家,尾道お好み焼き・ぽっぽ家,〒722-0035 広島県尾道市土堂2丁目8−24,34.4077969,133.2021866,722-0035,restaurant,0.973,layered_strict_wide,layer1_intersection_in_box,A,confirmed
00dc17b1-d38a-4cce-ae19-5f0441523b49,ChIJKRpFOpoIAWARwhPyOiPM_P8,田ごと ポルタ店,田ごと ポルタ店,〒600-8216 京都府京都市下京区東塩小路町902,34.9864807,135.7594070,600-8216,restaurant,0.911,layered_strict_wide,wide1_strict_in_wide_box,B,confirmed
00ed1830-f6a8-4a75-a72b-9fe5719376ea,ChIJN5GCXGTi_18RvEux7hs-qiI,モンテカーサ （隆盛堂本店）,モンテカーサ (隆盛堂本店),〒669-5245 61-5 Wadayamacho Hodoji,35.3608875,134.8191605,669-5245,casual_eatery,0.760,layered_strict_wide,layer1_intersection_in_box,A,confirmed
00f09b49-71f8-4208-8f1f-de4f94bcc863,ChIJAXy2optJPWAR1TvRG9-JmhQ,菓子匠松月堂,菓子匠松月堂,〒299-5225 千葉県勝浦市墨名271,35.1518803,140.3133774,299-5225,restaurant,0.993,layered_strict_wide,layer1_intersection_in_box,A,confirmed
0110b0e6-fff8-4bb2-b326-e6bb6bd61646,ChIJb971dx4jAWAR_2XDZqA8Iss,モモタコス -Momotacos-,モモタコス -Momotacos-,〒631-0065 1 Chome-1-4 Torimicho,34.6922989,135.7322617,631-0065,restaurant,0.793,layered_strict_wide,layer1_intersection_in_box,A,confirmed
012d3ce8-8a0d-4963-ac60-40326133008d,ChIJn65esAfAc18RyinyE6b84xo,喫茶ふわり,喫茶ふわり,北海道中川郡豊頃町茂岩本町26,42.8024006,143.5060806,,cafe,0.776,layered_strict_wide,layer1_intersection_in_box,A,confirmed
0132f4e8-8aa9-405f-baa2-d46a30eec9be,ChIJLyfywGA9cl8RpQW8GyemKPs,どーもどーもおお田です,どーもどーもおお田です,〒085-0013 北海道釧路市栄町3丁目1,42.9834251,144.3873825,085-0013,restaurant,0.978,layered_strict_wide,layer1_intersection_in_box,A,confirmed
0141aece-245a-4238-a801-cf7e0cf55b42,ChIJF8iJjbgjAWARZnSxQua9Mqg,炭火焼肉工房いろり屋,炭火焼肉工房いろり屋,〒630-0201 小明町434,34.7085094,135.7058411,630-0201,restaurant,0.770,layered_strict_wide,layer1_intersection_in_box,B,confirmed
01584b5f-ac5b-4d29-b431-3cc30b81a06f,ChIJsVhp4lpTGGAR4w-qAv8WFuk,Western Food Kitchen 69,Western Food Kitchen 69,神奈川県高座郡寒川町一之宮2丁目12−1,35.3684692,139.3834839,,restaurant,0.955,layered_strict_wide,layer1_intersection_in_box,A,confirmed
