decision	store_name	area	google_place_id	maps_url	catalog_name	catalog_address	name_agreement	similarity	box_hits	area_hits	posts	caption_excerpt
city_box_unique_strict	奥平米穀店	北海道帯広市	ChIJ4UgxU_Kbc18RUEwSxWcDAUw	https://www.google.com/maps/place/?q=place_id:ChIJ4UgxU_Kbc18RUEwSxWcDAUw	㈲奥平米穀店	4 Chome-14 Nishi 20 Jominami	contains	1.00	1	1	1	お米屋さんのモーニング🍙♥️もう何年も苦手だった早起きが、最近できるようになってきました👏✨そこでモーニングを攻めてみたいと思い立ち、みなさんにおすすめを聞いてみました📝 ⏎  ⏎ 立地とお腹の空き具合、時間を考慮して、今日は「奥平米穀店」さんへ🚗ここはお米屋さんですが、おにぎりとお惣菜を販売しています。お米屋さんの出来立ておにぎりは熱々で美味しかった♥️お
city_box_unique_strict	すきやきの松伊	北海道帯広市	ChIJaV1ViTaZc18RVt6RAdVkkGo	https://www.google.com/maps/place/?q=place_id:ChIJaV1ViTaZc18RVt6RAdVkkGo	すきやきの松伊	北海道帯広市西５条南３丁目１８	exact	1.00	1	1	1	すきやきのお店だけど、分厚いお刺身がイチオシ🎉♥️ ⏎  ⏎ 帯広市の中心部に近い場所にある老舗のすきやき店。すきやきのほかに、刺身、寿司、一品料理などバリエーションは豊か。いつも誕生日にどこ行こうか迷いに迷って、３年連続ここです😳😳😳 ⏎  ⏎ 本館と別館があり、本館は雰囲気があって、別館はとても綺麗。歓送迎会などのシーズンは混み合うので予約がおすすめ。 
city_box_unique_strict	いち羽	北海道帯広市	ChIJDdKLkWKZc18RL4_nQO-pAB0	https://www.google.com/maps/place/?q=place_id:ChIJDdKLkWKZc18RL4_nQO-pAB0					1	1	1	骨がスポッと抜ける、新感覚の手羽揚げ知ってる？🍗✨ ⏎  ⏎ 久しぶりに行った「やきとり いち羽」さん、やっぱり最高でした…！新たに頼んだ焼きおにぎりのお茶漬けも絶品だったのでシェアします😊❣️ ⏎  ⏎ 場所は、広小路からいなり小路方面に曲がると向かいにあります。赤提灯がぶら下がっていて雰囲気抜群✨昭和初期の歴史ある建物の外観や内装、家具を受け継いで数年前
city_box_unique_strict	なかしま	北海道帯広市	ChIJn6WxRT-Zc18RLiO9YMcDl8w	https://www.google.com/maps/place/?q=place_id:ChIJn6WxRT-Zc18RLiO9YMcDl8w	なかしま	北海道帯広市西１条南１０丁目８	exact	1.00	1	1	1	知る人ぞ知る、名古屋コーチンを贅沢にしかもおまかせコースでゆっくりと味わえる大人のための焼き鳥屋さん。（たまにキッズデーが開催されるよ😳） ⏎  ⏎ ずっと気になっていたけど、なかなか行けなかったのですが、今回ついに行ってきましたー！！全席カウンター。目の前で炭火で焼き上げられる美しい串と、こだわりのお酒やドリンクをゆっくり味わう時間が最高すぎました🥹♥️ 
city_box_unique_strict	メムロピーナッツショップ	北海道帯広市	ChIJDwImagCbc18R5tHrdU6DKz4	https://www.google.com/maps/place/?q=place_id:ChIJDwImagCbc18R5tHrdU6DKz4					1	1	1	いま注目の、あのお店に行ってきました〜🥜🍦♥️ ⏎ 今年６月にオープンしたばかりの、メムロピーナッツショップ。 ⏎ ピーナッツにまつわる服や小物、そして焼き菓子がたくさん並んでいてとってもかわいい！ ⏎  ⏎ そして気になっていたソフトクリームをいただきました✨ ⏎ ピーナッツの味わいが最高😆 ⏎ スペシャルデラックスには、たくさんトッピングが乗っていて、少
city_box_unique_strict	山とおむすび 銀月舎	滋賀県甲賀市	ChIJO-Hb9UpdAWARrP-xC8BKpO4	https://www.google.com/maps/place/?q=place_id:ChIJO-Hb9UpdAWARrP-xC8BKpO4	BROWN RiCE AND WATER	信楽町勅旨2188-7	DIFFERENT	0.00	1	1	1	行ったことある人や知ってる人は ⏎ 感想や意見をコメントで教えてね🍙 ⏎  ⏎ 【山とおむすび 銀月舎】 ⏎ gingetsusha_cafe  ⏎  ⏎ 滋賀県民ならもう知ってるよね？🍙✨  実は県外からもお客さんが訪れる、 ⏎ 大人気のおむすび屋さん「山とおむすび 銀月舎」 ⏎  ⏎ ここ、ただおむすびを楽しめるだけじゃないんです！  店内には、信楽町内
city_box_unique_strict	ボンブエーノボーノ	滋賀県栗東市	ChIJyRmvUj1yAWARzdqQQkuFBk8	https://www.google.com/maps/place/?q=place_id:ChIJyRmvUj1yAWARzdqQQkuFBk8	Bon Bueno Buono	6 Chome-10-38 Ogaki	DIFFERENT	0.00	1	1	1	行きたいと思ったら「行きたい！」とコメントしてね✨ ⏎  ⏎ 【 ボンブエーノボーノ 】 ⏎ bon.bueno.buono  ⏎  ⏎ 自家製の水耕栽培野菜をはじめ ⏎ 厳選した食材や無添加の調味料 ⏎ 良質な油にこだわった料理を楽しめる ⏎ 『ボンブエーノボーノ』さん🍽️ ⏎  ⏎ こちらは横にパン屋さんも併設されていて、 ⏎ ランチではなんと焼き立てパ
city_box_unique_strict	店名:ほっこくスタンド	滋賀県長浜市	ChIJL4gLZtQpAmARaepbw4uqioM	https://www.google.com/maps/place/?q=place_id:ChIJL4gLZtQpAmARaepbw4uqioM	ほっこくスタンド	Motohamacho, 7−5 町家キャンパス	contains	1.00	1	1	1	行きたいと思ったら「行きたい」とコメントしてね✨ ⏎  ⏎ 長浜の人気スポット ⏎ 「ほっこくスタンド」　hokkoku_stand  ⏎  ⏎ 昼限定のまぜそば＆夜のサク飲み魅力を一挙紹介！ ⏎  ⏎ 実は今、**【9月末までの期間限定】でランチの『まぜそば』**が食べられるの知ってた…！？ ⏎  ⏎ 極太麺に濃厚なタレと具材がしっかり絡んで、一口食べたら
city_box_unique_strict	近江 かど萬	滋賀県大津市	ChIJTfc6vl8MAWARYnglrpGOdNg	https://www.google.com/maps/place/?q=place_id:ChIJTfc6vl8MAWARYnglrpGOdNg	かど萬	滋賀県大津市中央１丁目７−３５	contains	1.00	1	1	1	行きたいと思った人は「行きたい」とコメントしてね✨ ⏎  ⏎ 【近江 かど萬】 ⏎ oumikadoman  ⏎  ⏎ 大津ICから車でわずか5分🚗 ⏎  滋賀で見つけた創業120年の老舗「近江 かど萬」をご紹介✨ ⏎  ⏎ 特別な記念日やご家族でのお祝い事に選びたい、 ⏎ 老舗ならではの上質な贅沢空間。 ⏎  ⏎  広々とした個室完備で、お子様用の椅子も借
city_box_unique_strict	店名:lunch & sweets story	香川県高松市	ChIJM9z23bzrUzUR3EjApbIKV94	https://www.google.com/maps/place/?q=place_id:ChIJM9z23bzrUzUR3EjApbIKV94	Story	Matsunawacho, １０７４−6	contains	1.00	1	1	1	行きたいと思ったら「行きたい！」と ⏎ コメントしてね🍳✨ ⏎  ⏎ 【Lunch & Sweets STORY】 ⏎ story_lunch.and.sweets ⏎  ⏎ 香川で大人気の ⏎ 牛すじオムライスが楽しめるお店🍳✨ ⏎  ⏎ 焼き上げた卵の中には ⏎ 旨みたっぷりのケチャップライスが ⏎ 入っていて、牛すじもホロホロで ⏎ ひと口食べるとクセ
