# label（店名:xxx /【店名】xxx）で新しく増えたキーの目視サンプル 120 件（2026-09-05, seed 99）
# 120 件すべて店名だった。括弧が片側だけ落ちていた 4 件はこの後の修正で直っている。
store_name	area	sample_post_id
こんぴらうどん なかだ	群馬県伊勢崎市	DVlThYkEhBV
pique-nique (ピキニキ	宮城県仙台市	DWn7CKLEr0X
ホテル コレクティブ	沖縄県那覇市	DYweczfR6pt
tettoh tea factory	沖縄県うるま市	DaC4JL0hL5M
中みそ ヒロロ店	青森県弘前市	DEwo33TT43I
士水(しすい	岡山県倉敷市	DXbscKsE4dg
fufufu まごやさごはんとすいーつ	山梨県甲府市	DZXH-_Ozfml
ブロンコビリー大野城御笠川店	福岡県大野城市	CwPJ2hCqg-F
和牛 三国家	群馬県吾妻郡草津町	DXY_BUUEye2
the rose village	滋賀県甲賀市	DciaznBpDBs
ヴァベーネ	山形県天童市	C4xa0KBvTZq
らーめん 味仙館	東京都江戸川区	DW3V5zxCMtk
煙間大名	福岡県福岡市	DWK86hYEXGO
ご飯と酒 実の里(みのり	兵庫県神戸市	DTVBXc_kyoJ
リンツ ショコラ ブティック&カフェ 表参道	東京都渋谷区	DZ93M6gvCd5
ベーカリーキッチン オハナ とちぎ店	栃木県栃木市	DMzzTFSy203
めしと酒 なか	宮城県黒川郡大和町	Da7BNaFS27M
天ぴ屋	新潟県村上市	DZKWOZWg_Rg
ono boulangerie&cafe	山梨県南アルプス市	Da45kW5yaTJ
中国料理レストラン タカハシ	山形県山形市	C39xji2r_7D
el chavo(エルチャボ	千葉県大網白里市	DW54vDYzDbT
お食事処 柴田屋	秋田県秋田市	DCyuaKkhqz0
自家焙煎珈琲 楽渢(らふ	群馬県高崎市	DSSGgq9kj7A
feliche鳥栖店	佐賀県鳥栖市	CtjC1ayvdJB
まる福うどん	香川県三豊市	DbRnmPzzYZf
